연관키워드,월간검색수(PC),월간검색수(모바일),월평균클릭수(PC),월평균클릭수(모바일),월평균클릭률(PC),월평균클릭률(모바일),경쟁정도,월평균노출 광고수
CCTV가격,580,"2,000",10.7,90.8,1.97%,4.73%,높음,10
CCTV추천,"1,380","4,970",28.6,202.1,2.17%,4.39%,높음,10
보안업체,630,"1,610",13.8,30.2,2.23%,1.95%,높음,10
홈CCTV,810,"3,360",6.3,79,0.8%,2.45%,높음,8
홈캠,"8,980","43,800",82.6,834.4,0.91%,1.81%,높음,8
현관CCTV,"1,900","10,600",37.6,448.8,2.11%,4.39%,높음,8
IP카메라,"1,680","4,580",6.3,64,0.26%,0.57%,높음,8
매장CCTV,260,680,4.2,27.6,1.55%,4.38%,높음,10
CCTV카메라,"1,000","1,980",13.1,18.8,1.4%,1.03%,높음,8
무선CCTV,"1,730","6,200",17.1,107,1.05%,1.87%,높음,8
CCTV설치비용,450,940,6.1,36.2,1.37%,4.07%,높음,10
홈캠추천,910,"4,460",10.6,114.6,1.29%,2.81%,높음,10
스마트폰CCTV,560,"4,190",7.5,140,1.39%,3.54%,높음,8
유플러스CCTV,120,360,1.6,11,1.41%,3.21%,높음,10
인터넷CCTV,50,140,1.3,10,2.46%,7.3%,높음,10
시시티비,180,670,0.4,11.5,0.24%,1.74%,높음,7
카메라,"7,980","25,500",16.1,106.7,0.21%,0.45%,높음,8
부산CCTV,490,"1,420",2.5,11.8,0.57%,0.91%,높음,10
KTCCTV가격,230,990,4.1,60.4,1.84%,6.49%,높음,10
건물CCTV,20,70,0.3,1.9,1.06%,2.73%,높음,7
캡스CCTV가격,10,80,0.2,2.8,1.18%,2.93%,높음,10
씨씨티비,600,"3,480",4.6,55.9,0.78%,1.71%,높음,10
U+CCTV,40,100,0.5,4.5,1.25%,4.95%,높음,10
외부CCTV,210,570,3.5,10.5,1.55%,1.77%,높음,8
CCTV렌탈비용,30,120,0.5,13,1.48%,10.49%,높음,10
캡스비용,130,550,2.6,14,2.19%,2.67%,높음,10
CCTV임대,20,40,0.6,3.2,2.4%,7.81%,높음,10
감시카메라,450,"1,540",8.1,43.5,1.85%,3.02%,높음,8
CCTV렌트,< 10,< 10,0,0,-,-,높음,7
지능형CCTV,320,200,2.6,3.2,0.79%,1.56%,높음,10
돔카메라,210,110,1.1,1.3,0.56%,1.17%,높음,8
LG유플러스CCTV,70,140,1.1,4.4,1.42%,3.29%,높음,10
CCTV시공,10,10,0.3,0.3,1.91%,2.09%,높음,7
CCTV수리,100,250,1.7,6,1.59%,2.51%,높음,10
