연관키워드,월간검색수(PC),월간검색수(모바일),월평균클릭수(PC),월평균클릭수(모바일),월평균클릭률(PC),월평균클릭률(모바일),경쟁정도,월평균노출 광고수
KTCCTV가격,230,990,4.1,60.4,1.84%,6.49%,높음,10
KTCCTV설치,150,430,3.2,19.4,2.14%,4.62%,높음,10
CCTV추천,"1,380","4,970",28.6,202.1,2.17%,4.39%,높음,10
올레CCTV,40,70,0.3,1.5,0.77%,2%,높음,10
KTCCTV렌탈,< 10,10,0.4,1.5,5.36%,11.54%,높음,7
CCTV카메라,"1,000","1,980",13.1,18.8,1.4%,1.03%,높음,8
KT홈CCTV,10,70,0.7,4.5,3.89%,6.53%,높음,10
CCTV설치비용,450,940,6.1,36.2,1.37%,4.07%,높음,10
KT인터넷CCTV,30,100,0.5,5.3,1.57%,5.28%,높음,10
KT홈캠,430,"1,540",5.4,49.8,1.35%,3.31%,높음,10
KT기가아이즈,550,450,2.2,10.6,0.44%,2.44%,높음,10
KT씨씨티비,40,190,0.3,5.8,0.74%,3.07%,높음,10
KT보안,210,330,0.4,3.2,0.25%,1.33%,높음,10
씨씨티비,600,"3,480",4.6,55.9,0.78%,1.71%,높음,10
KT가정용CCTV,20,50,0.6,6,3%,10.67%,높음,10
KTCCTV비용,10,30,0.1,2.3,0.84%,5.65%,높음,10
KTTELECOP,370,380,0.8,4,0.23%,1.11%,높음,10
KTCCTV카메라,< 10,30,0,1,-,2.78%,높음,9
KT기가CCTV,10,< 10,0.3,0.8,2.6%,8.83%,높음,7
KTCCTV요금,30,210,2,17.4,4.77%,7.57%,높음,10
KT카메라,40,80,0.4,3,1.06%,3.75%,높음,10
KT,"241,200","336,300",67.4,366.6,0.04%,0.13%,높음,10
KTGIGAEYES,90,80,0.3,2.3,0.36%,3.05%,높음,10
CCTV월요금,10,20,0.1,0.6,1.43%,2.64%,높음,7
올레KTCCTV,< 10,10,0.1,1,4.77%,12.5%,높음,7
CCTV요금,< 10,20,0.5,0.8,9.76%,3.13%,중간,8
지능형CCTV가격,< 10,< 10,0.3,0.3,3.64%,4.55%,중간,6
CCTV월사용료,< 10,< 10,0.6,0.3,8.17%,3.58%,높음,7
GIGAEYES,350,410,1.1,2.3,0.35%,0.6%,중간,3
KTCCTV설치비용,30,230,1.4,14.7,5.39%,8.68%,높음,10
KT경비,10,20,0.8,0.9,6.58%,4.29%,중간,6
CCTV전용회선,10,< 10,0,0,-,-,높음,3
KT홈카메라,10,50,0.4,1.5,3.08%,2.42%,높음,10
KTCC,80,70,1,3,1.28%,3.9%,높음,7
KT도어가드,< 10,10,0,0.3,-,1.59%,높음,3
KT텔레캅가입,< 10,10,0.9,0.8,28.58%,5.77%,높음,7
KT텔레캅지문인식기,< 10,< 10,0.3,0,8.34%,-,높음,3
기가아이즈,"2,880","1,310",5.3,15.9,0.21%,1.34%,중간,8
KT올레,"4,140","2,140",0.9,4.4,0.03%,0.23%,높음,10
KT텔레캅가격,10,30,0,1.5,-,4.84%,높음,7
LG캠,< 10,10,0,0.5,-,2.5%,높음,3
SK캠,< 10,10,0.5,0,12.5%,-,중간,2
개인용CCTV,< 10,20,0.3,1,4.09%,4.77%,높음,7
방범업체,20,50,0.3,1,1.37%,1.97%,높음,7
안심캠,< 10,20,0,0.3,-,1.07%,높음,9
엘지유플러스홈캠,50,170,0.5,4.8,1.12%,2.87%,높음,8
인터넷전화가입,50,70,2.1,5.2,4.29%,7.65%,높음,10
KT텔레캅비용,10,40,0,1.1,-,2.59%,중간,7
KT자가경비,60,110,1.1,8.4,1.68%,6.49%,중간,8
SKCLOUDCAM,< 10,< 10,0.4,0,11.12%,-,중간,2
KT텔레캅기가아이즈,10,10,0,0,-,-,중간,4
경주CCTV설치,10,20,0.3,1.3,3.34%,4.81%,높음,10
케티텔레캅,< 10,< 10,0,0.3,-,8.34%,높음,7
홈캠KT,< 10,40,0.3,3.5,2.6%,7%,높음,7
KT방범,10,20,0.9,2,4.5%,7.15%,높음,10
KT텔레캅요금,30,130,0.7,8.9,2.92%,7.43%,높음,10
FHDCCTV,< 10,< 10,0,0,-,-,높음,3
CCTV월비용,< 10,< 10,0.6,1.1,14.29%,11.43%,높음,7
씨씨티비설치비용,50,480,0.6,28,1.08%,6.15%,높음,10
KTCCTV인터넷,10,30,0.7,1,5.11%,4.17%,높음,7
CCTV설치비,60,70,0.3,1.9,0.5%,2.89%,높음,10
KT보안카메라,< 10,10,0.1,2.3,2%,13.24%,높음,10
KT세콤,< 10,20,0,0,-,-,중간,6
KTCCTV결합,< 10,10,0.7,0,33.34%,-,높음,3
