연관키워드,월간검색수(PC),월간검색수(모바일),월평균클릭수(PC),월평균클릭수(모바일),월평균클릭률(PC),월평균클릭률(모바일),경쟁정도,월평균노출 광고수
무선CCTV,"1,730","6,200",17.1,107,1.05%,1.87%,높음,8
파인뷰홈캠,450,"2,180",2.5,38.8,0.57%,1.73%,높음,8
CCTV카메라,"1,000","1,980",13.1,18.8,1.4%,1.03%,높음,8
실외CCTV,430,"1,340",6,26.8,1.58%,2.2%,높음,8
IP카메라,"1,680","4,580",6.3,64,0.26%,0.57%,높음,8
홈캠,"8,980","43,800",82.6,834.4,0.91%,1.81%,높음,8
초소형카메라,"2,020","8,850",67.7,488.1,3.57%,6.04%,높음,10
동축케이블,"1,650","3,480",4.5,13,0.3%,0.42%,높음,8
CCTV추천,"1,380","4,970",28.6,202.1,2.17%,4.39%,높음,10
유플러스CCTV,120,360,1.6,11,1.41%,3.21%,높음,10
매장CCTV,260,680,4.2,27.6,1.55%,4.38%,높음,10
LG유플러스CCTV,70,140,1.1,4.4,1.42%,3.29%,높음,10
CCTV녹화기,500,860,3.5,9,0.73%,1.13%,높음,8
CCTV렌트,< 10,< 10,0,0,-,-,높음,7
엘지유플러스CCTV,60,130,1.6,5.2,2.59%,4.1%,높음,10
태양광CCTV,390,"1,030",4,16,1.06%,1.56%,높음,8
소형카메라,880,"3,990",9.1,118.1,1.09%,3.2%,높음,10
CC카메라,220,390,2.1,9.2,0.88%,2.53%,높음,10
국산CCTV,150,550,1.9,19.3,1.13%,3.21%,높음,8
홈CCTV,810,"3,360",6.3,79,0.8%,2.45%,높음,8
감시카메라,450,"1,540",8.1,43.5,1.85%,3.02%,높음,8
LGU플러스CCTV,50,160,1.5,5.8,2.64%,3.75%,높음,10
LGU+CCTV,70,120,1.4,4.2,2.06%,3.72%,높음,10
U+CCTV,40,100,0.5,4.5,1.25%,4.95%,높음,10
AI카메라,280,740,2.3,4.8,0.88%,0.7%,높음,7
파인뷰홈,80,220,0.1,1.3,0.21%,0.55%,높음,7
지능형CCTV,320,200,2.6,3.2,0.79%,1.56%,높음,10
홈캠추천,910,"4,460",10.6,114.6,1.29%,2.81%,높음,10
소형CCTV카메라,50,180,2.1,4.7,4.21%,2.57%,높음,7
인터넷CCTV,50,140,1.3,10,2.46%,7.3%,높음,10
보안업체,630,"1,610",13.8,30.2,2.23%,1.95%,높음,10
국산홈캠,470,"2,000",5.3,58.3,1.12%,2.61%,높음,8
씨씨티비,600,"3,480",4.6,55.9,0.78%,1.71%,높음,10
스마트폰CCTV,560,"4,190",7.5,140,1.39%,3.54%,높음,8
가게CCTV,100,380,1.6,14,1.51%,3.84%,높음,10
건물CCTV,20,70,0.3,1.9,1.06%,2.73%,높음,7
파인뷰CCTV,20,80,0.7,1.7,1.89%,1.79%,중간,3
외부CCTV,210,570,3.5,10.5,1.55%,1.77%,높음,8
업소용CCTV,60,300,0.7,9,1.19%,3.3%,높음,10
상가CCTV,70,210,1.1,8,1.45%,3.67%,높음,10
바디캠,"3,870","11,000",29,152.9,0.8%,1.5%,높음,8
CCTV설치업체,250,420,4.3,26.2,1.65%,6.62%,높음,10
무선CCTV카메라,150,410,2.5,15.5,1.63%,3.54%,높음,8
시시티비,180,670,0.4,11.5,0.24%,1.74%,높음,7
건설현장CCTV,60,40,1.3,2,2%,4.88%,높음,9
펫캠,540,"2,480",5,44.8,0.96%,1.86%,높음,8
클라우드CCTV,30,50,0.6,3,2.02%,5.46%,높음,8
현관CCTV,"1,900","10,600",37.6,448.8,2.11%,4.39%,높음,8
도로CCTV,"15,700","59,300",6,54.6,0.05%,0.1%,중간,6
사무실CCTV설치,110,110,1.2,5.4,1.12%,4.5%,높음,10
씨씨티비설치,50,370,0.5,19.2,0.95%,5.03%,높음,10
무선홈캠,190,"1,080",3.5,25.3,1.96%,2.3%,높음,8
NVR,"1,210","1,030",2.3,3.3,0.2%,0.34%,높음,8
U+우리가게패키지,70,40,2.2,0.6,3.14%,1.38%,중간,8
보안CCTV,20,60,0.6,2.6,2.07%,3.67%,높음,10
학원CCTV,70,160,1.2,4,1.7%,2.34%,높음,10
CCTV설치비용,450,940,6.1,36.2,1.37%,4.07%,높음,10
실외무선CCTV,60,150,0.3,2.3,0.38%,1.59%,높음,8
CCTVSET,< 10,< 10,0.1,0,2.86%,-,높음,7
