연관키워드,월간검색수(PC),월간검색수(모바일),월평균클릭수(PC),월평균클릭수(모바일),월평균클릭률(PC),월평균클릭률(모바일),경쟁정도,월평균노출 광고수
씨씨티비,600,"3,480",4.6,55.9,0.78%,1.71%,높음,10
CCTV카메라,"1,000","1,980",13.1,18.8,1.4%,1.03%,높음,8
NVR,"1,210","1,030",2.3,3.3,0.2%,0.34%,높음,8
홈CCTV,810,"3,360",6.3,79,0.8%,2.45%,높음,8
홈캠,"8,980","43,800",82.6,834.4,0.91%,1.81%,높음,8
무선CCTV,"1,730","6,200",17.1,107,1.05%,1.87%,높음,8
IP카메라,"1,680","4,580",6.3,64,0.26%,0.57%,높음,8
CCTV추천,"1,380","4,970",28.6,202.1,2.17%,4.39%,높음,10
현관CCTV,"1,900","10,600",37.6,448.8,2.11%,4.39%,높음,8
보안업체,630,"1,610",13.8,30.2,2.23%,1.95%,높음,10
매장CCTV,260,680,4.2,27.6,1.55%,4.38%,높음,10
스마트폰CCTV,560,"4,190",7.5,140,1.39%,3.54%,높음,8
유플러스CCTV,120,360,1.6,11,1.41%,3.21%,높음,10
DVR,600,880,1.9,4,0.33%,0.48%,높음,8
감시카메라,450,"1,540",8.1,43.5,1.85%,3.02%,높음,8
홈캠추천,910,"4,460",10.6,114.6,1.29%,2.81%,높음,10
CC카메라,220,390,2.1,9.2,0.88%,2.53%,높음,10
클라우드CCTV,30,50,0.6,3,2.02%,5.46%,높음,8
물리보안,110,120,0.4,1.1,0.42%,0.99%,높음,7
국산CCTV,150,550,1.9,19.3,1.13%,3.21%,높음,8
KTCCTV가격,230,990,4.1,60.4,1.84%,6.49%,높음,10
캡스,"10,700","15,700",21.1,100.6,0.22%,0.68%,높음,10
AI카메라,280,740,2.3,4.8,0.88%,0.7%,높음,7
외부CCTV,210,570,3.5,10.5,1.55%,1.77%,높음,8
무선CCTV카메라,150,410,2.5,15.5,1.63%,3.54%,높음,8
홈캠설치,340,"3,080",6.5,128.7,2%,4.54%,높음,10
TAPO,"2,530","4,810",17.8,104.5,0.73%,2.23%,중간,7
CCTV설치업체,250,420,4.3,26.2,1.65%,6.62%,높음,10
CCTV설치비용,450,940,6.1,36.2,1.37%,4.07%,높음,10
중고CCTV,50,50,1.2,2.5,1.85%,5.11%,높음,10
가게CCTV,100,380,1.6,14,1.51%,3.84%,높음,10
소형CCTV카메라,50,180,2.1,4.7,4.21%,2.57%,높음,7
기가아이즈,"2,880","1,310",5.3,15.9,0.21%,1.34%,중간,8
모형씨씨티비,< 10,10,0.2,0,2.44%,-,중간,6
실외CCTV설치,10,40,0,1.3,-,2.8%,높음,10
무선CCTV가격,10,80,0.3,2.5,2.39%,4.24%,높음,7
시시티비,180,670,0.4,11.5,0.24%,1.74%,높음,7
브이스타캠,670,680,2.5,12,0.4%,1.8%,높음,8
홈CCTV설치,20,110,0.7,4.4,3.05%,3.93%,높음,10
무인경비,160,120,3.1,2.8,1.91%,2.42%,높음,10
LG유플러스CCTV,70,140,1.1,4.4,1.42%,3.29%,높음,10
LGU+CCTV,70,120,1.4,4.2,2.06%,3.72%,높음,10
CCTV설치비,60,70,0.3,1.9,0.5%,2.89%,높음,10
홈CCTV추천,20,120,0.3,2.8,1.12%,2.46%,높음,10
KT카메라,40,80,0.4,3,1.06%,3.75%,높음,10
인터넷CCTV,50,140,1.3,10,2.46%,7.3%,높음,10
홈카메라,600,"3,110",6.1,65.3,1.07%,2.09%,높음,8
지능형CCTV,320,200,2.6,3.2,0.79%,1.56%,높음,10
CCTV카메라종류,90,30,0.1,0.5,0.16%,1.25%,중간,7
